en,extension,file,gen,id,length
American Bittern,.mp3,https://xeno-canto.org/601776/download,Botaurus,601776,0:29
American Bittern,.mp3,https://xeno-canto.org/739245/download,Botaurus,739245,0:06
American Bittern,.mp3,https://xeno-canto.org/720284/download,Botaurus,720284,0:08
American Bittern,.mp3,https://xeno-canto.org/705383/download,Botaurus,705383,0:07
American Bittern,.mp3,https://xeno-canto.org/618567/download,Botaurus,618567,0:10
American Crow,.wav,https://xeno-canto.org/792018/download,Corvus,792018,0:07
American Crow,.wav,https://xeno-canto.org/762167/download,Corvus,762167,0:31
American Crow,.wav,https://xeno-canto.org/762166/download,Corvus,762166,1:06
American Crow,.mp3,https://xeno-canto.org/756861/download,Corvus,756861,2:13
American Crow,.mp3,https://xeno-canto.org/753154/download,Corvus,753154,0:16
American Goldfinch,.mp3,https://xeno-canto.org/772374/download,Spinus,772374,2:52
American Goldfinch,.mp3,https://xeno-canto.org/756999/download,Spinus,756999,0:35
American Goldfinch,.mp3,https://xeno-canto.org/734890/download,Spinus,734890,0:48
American Goldfinch,.mp3,https://xeno-canto.org/723797/download,Spinus,723797,0:31
American Goldfinch,.mp3,https://xeno-canto.org/720038/download,Spinus,720038,0:09
American Kestrel,.wav,https://xeno-canto.org/780537/download,Falco,780537,0:21
American Kestrel,.wav,https://xeno-canto.org/779660/download,Falco,779660,0:15
American Kestrel,.mp3,https://xeno-canto.org/726547/download,Falco,726547,3:36
American Kestrel,.mp3,https://xeno-canto.org/681907/download,Falco,681907,0:18
American Kestrel,.mp3,https://xeno-canto.org/681816/download,Falco,681816,0:29
Buff-bellied Pipit,.wav,https://xeno-canto.org/779663/download,Anthus,779663,0:12
Buff-bellied Pipit,.mp3,https://xeno-canto.org/690946/download,Anthus,690946,0:36
Buff-bellied Pipit,.mp3,https://xeno-canto.org/638208/download,Anthus,638208,0:03
Buff-bellied Pipit,.mp3,https://xeno-canto.org/624421/download,Anthus,624421,0:04
Buff-bellied Pipit,.mp3,https://xeno-canto.org/622932/download,Anthus,622932,0:12
American Redstart,.mp3,https://xeno-canto.org/794304/download,Setophaga,794304,1:10
American Redstart,.mp3,https://xeno-canto.org/794303/download,Setophaga,794303,1:05
American Redstart,.wav,https://xeno-canto.org/788933/download,Setophaga,788933,1:04
American Redstart,.mp3,https://xeno-canto.org/787083/download,Setophaga,787083,1:23
American Redstart,.wav,https://xeno-canto.org/780538/download,Setophaga,780538,0:44
American Robin,.wav,https://xeno-canto.org/789575/download,Turdus,789575,1:30
American Robin,.mp3,https://xeno-canto.org/779498/download,Turdus,779498,0:15
American Robin,.mp3,https://xeno-canto.org/779497/download,Turdus,779497,0:27
American Robin,.mp3,https://xeno-canto.org/774170/download,Turdus,774170,4:31
American Robin,.mp3,https://xeno-canto.org/774161/download,Turdus,774161,3:43
American Wigeon,.wav,https://xeno-canto.org/789572/download,Mareca,789572,0:26
American Wigeon,.mp3,https://xeno-canto.org/786069/download,Mareca,786069,2:59
American Wigeon,.mp3,https://xeno-canto.org/780563/download,Mareca,780563,1:44
American Wigeon,.wav,https://xeno-canto.org/754238/download,Mareca,754238,0:07
American Wigeon,.mp3,https://xeno-canto.org/707935/download,Mareca,707935,0:50
American Woodcock,.mp3,https://xeno-canto.org/793824/download,Scolopax,793824,7:11
American Woodcock,.mp3,https://xeno-canto.org/789687/download,Scolopax,789687,4:22
American Woodcock,.mp3,https://xeno-canto.org/712833/download,Scolopax,712833,2:26
American Woodcock,.mp3,https://xeno-canto.org/710368/download,Scolopax,710368,0:25
American Woodcock,.mp3,https://xeno-canto.org/709861/download,Scolopax,709861,0:46
American Tree Sparrow,.wav,https://xeno-canto.org/787830/download,Spizelloides,787830,1:02
American Tree Sparrow,.mp3,https://xeno-canto.org/736333/download,Spizelloides,736333,0:32
American Tree Sparrow,.mp3,https://xeno-canto.org/703278/download,Spizelloides,703278,0:07
American Tree Sparrow,.mp3,https://xeno-canto.org/683409/download,Spizelloides,683409,1:53
American Tree Sparrow,.mp3,https://xeno-canto.org/683407/download,Spizelloides,683407,3:19
Anna's Hummingbird,.mp3,https://xeno-canto.org/731971/download,Calypte,731971,0:40
Anna's Hummingbird,.mp3,https://xeno-canto.org/701552/download,Calypte,701552,0:27
Anna's Hummingbird,.mp3,https://xeno-canto.org/697495/download,Calypte,697495,0:05
Anna's Hummingbird,.mp3,https://xeno-canto.org/691002/download,Calypte,691002,0:22
Anna's Hummingbird,.mp3,https://xeno-canto.org/679336/download,Calypte,679336,0:53
Ash-throated Flycatcher,.wav,https://xeno-canto.org/784894/download,Myiarchus,784894,0:59
Ash-throated Flycatcher,.wav,https://xeno-canto.org/780885/download,Myiarchus,780885,1:07
Ash-throated Flycatcher,.mp3,https://xeno-canto.org/768339/download,Myiarchus,768339,3:10
Ash-throated Flycatcher,.mp3,https://xeno-canto.org/702496/download,Myiarchus,702496,0:16
